,id,lat,long,hour,proj,pltGrp,pltPosition,label
1174,24249,22.537645,114.047913,21,6,37,0,1
1175,24250,22.7619,114.061401,9,4,31,0,1
1176,24251,22.582001,113.8759,3,22,38,0,1
1177,24252,22.627466,113.809982,19,28,29,0,1
1178,24253,22.584284,113.786133,4,30,102,0,1
1179,24254,22.705627,114.022812,20,8,26,0,1
1180,24255,22.663282,113.871132,16,22,5,0,1
1181,24256,22.655117,114.016815,10,8,8,0,1
1182,24257,22.617132,113.829285,20,26,44,0,1
1183,24258,22.566883,113.874969,20,22,44,0,1
1184,24262,22.6831,113.834099,0,26,13,0,1
1185,24263,22.670401,113.896103,9,20,11,0,1
1186,24264,22.751783,113.876266,15,22,24,0,1
1187,24265,22.6633,113.894302,15,20,24,0,1
1188,24266,22.52845,114.044853,5,6,25,0,1
1189,24268,22.586132,113.873947,7,22,56,0,1
1190,24269,22.724737,114.034805,19,7,17,0,1
1191,24270,22.524384,113.913269,5,18,62,0,1
1192,24271,22.668867,114.01519,14,9,4,0,1
1193,24273,22.749483,113.813316,11,28,34,0,1
1194,24275,22.736017,113.79995,20,29,44,0,1
1195,24276,22.5933,113.870148,16,22,5,0,1
1196,24277,22.731649,113.868698,3,22,38,0,1
1197,24278,22.619284,113.813118,22,28,27,0,1
1198,24279,22.593533,113.822449,2,27,96,0,1
1199,24280,22.526882,113.947998,13,15,79,0,1
1200,24283,22.528049,114.044853,11,6,18,0,1
1201,24284,22.608017,114.042084,21,6,37,0,1
1202,24285,22.567331,113.853477,22,24,27,0,1
1203,24286,22.686733,113.89743,19,20,29,0,1
1204,24287,22.735542,113.808495,11,28,34,0,1
1205,24288,22.55187,114.081795,11,2,18,0,1
1206,24289,22.531176,114.040031,14,6,4,0,1
1207,24290,22.558184,113.928413,10,17,8,0,1
1208,24291,22.6651,114.013802,2,9,9,0,1
1209,24292,22.541349,114.021736,5,8,25,0,1
1210,24293,22.608999,114.064102,8,4,51,0,1
1211,24294,22.652201,113.981697,13,12,79,0,1
1212,24295,22.554501,113.894302,8,20,36,0,1
1213,24296,22.5431,114.025902,10,8,8,0,1
1214,24297,22.528933,114.026115,22,8,43,0,1
1215,24298,22.551733,113.813484,16,28,86,0,1
1216,24299,22.683067,113.902229,0,19,13,0,1
1217,24300,22.535351,114.062065,2,4,9,0,1
1218,24301,22.5721,113.813118,9,28,11,0,1
1219,24302,22.579201,114.060852,0,4,3,0,1
1220,24303,22.5725,113.952248,5,15,25,0,1
1221,24304,22.744211,114.015244,4,9,12,0,1
1222,24305,22.551718,113.929115,14,17,57,0,1
1223,24306,22.530373,113.959755,14,14,57,0,1
1224,24307,22.525967,113.909798,11,19,55,0,1
1225,24308,22.6737,113.8899,10,20,8,0,1
1226,24309,22.622601,114.042503,13,6,19,0,1
1227,24310,22.53125,113.947121,6,15,-1,0,1
1228,24312,22.6273,114.03363,5,7,25,0,1
1229,24315,22.589767,113.869667,5,22,62,0,1
1230,24316,22.730516,113.8237,10,27,8,0,1
1231,24317,22.679132,113.808075,19,28,29,0,1
1232,24318,22.566151,114.062401,5,4,25,0,1
1233,24319,22.637699,114.044197,7,6,10,0,1
1234,24320,22.608999,114.009003,1,9,20,0,1
1235,24321,22.682301,113.973,21,13,14,0,1
1236,24323,22.630533,113.935951,2,16,64,0,1
1237,24324,22.58375,113.949417,11,15,55,0,1
1238,24325,22.5786,114.099701,12,1,108,0,1
1239,24326,22.698133,114.064247,20,4,26,0,1
1240,24327,22.592051,114.051819,14,5,4,0,1
1241,24328,22.542999,114.062447,23,4,80,0,1
1242,24329,22.550934,114.048386,20,5,26,0,1
1243,24330,22.6619,114.002899,21,10,37,0,1
1244,24331,22.536501,114.024216,5,8,25,0,1
1245,24332,22.5417,113.892097,10,20,8,0,1
1246,24333,22.699484,113.985115,0,11,106,0,1
1247,24335,22.72945,113.809937,8,28,83,0,1
1248,24336,22.536934,113.923302,21,17,14,0,1
1249,24337,22.569099,113.870651,15,22,24,0,1
1250,24338,22.5429,113.959702,0,14,65,0,1
1251,24339,22.544033,113.963486,22,13,27,0,1
1252,24340,22.618601,114.039497,11,6,18,0,1
1253,24341,22.748199,114.015701,16,9,2,0,1
1254,24342,22.5797,114.077698,20,3,26,0,1
1255,24343,22.555866,114.043999,5,6,25,0,1
1256,24344,22.552816,113.887184,12,21,1,0,1
1257,24345,22.567432,113.893318,20,20,44,0,1
1258,24347,22.800617,113.742149,10,34,-1,0,1
1259,24349,22.520983,113.91758,5,18,62,0,1
1260,24350,22.716101,114.032501,19,7,17,0,1
1261,24351,22.6612,114.051804,0,5,3,0,1
